BookID,BorrowingID,BorrowerID,BorrowDate,ReturnDate
0038,01676,1470,2007-05-24,2007-06-09
0038,02391,1319,2002-05-10,2002-05-24
0038,02971,0914,2020-05-15,2020-06-07
0039,00379,0563,2010-07-02,2010-07-29
0039,01395,1436,2017-12-15,2018-01-10
0040,00021,0098,2015-06-22,2015-07-14
0040,01981,0353,2011-09-17,2011-10-01
0040,02614,0527,2019-05-14,2019-05-21
0040,02981,0638,2007-01-02,2007-01-12
0041,01160,1193,2009-12-22,2010-01-05
0041,02148,0451,2019-05-17,2019-06-09
0042,01868,1296,2004-01-26,2004-01-27
0042,02969,0650,2003-09-03,2003-09-19
0043,00727,0345,2010-07-25,2010-08-08
0044,00047,1473,2010-02-06,2010-03-07
0044,00446,1417,2015-03-11,2015-04-05
0044,01986,0197,2013-11-06,2013-12-03
0045,00202,1016,2012-01-18,2012-02-09
0045,01137,0002,2021-11-08,2021-12-04
0045,01521,0888,2019-03-25,2019-03-26
0047,01301,1205,2020-05-10,2020-05-17
0047,01831,1431,2004-06-18,2004-07-18
0048,00775,1222,2008-05-02,2008-05-15
0048,01415,0080,2022-04-20,2022-05-14
0048,02356,0502,2009-01-26,2009-01-28
0049,00260,0396,2003-10-27,2003-11-19
0049,01019,0797,2017-08-28,2017-08-31
0050,00523,0777,2009-06-11,2009-06-29
0050,01880,0830,2013-01-11,2013-01-30
0051,02177,0944,2003-03-27,2003-04-09
0051,02606,0267,2009-06-22,2009-07-08
0051,02718,1079,2019-07-08,2019-07-31
0052,00124,1228,2016-12-11,2017-01-08
0052,01758,1422,2006-10-06,2006-10-22
0053,00401,0063,2004-02-15,2004-03-08
0053,01875,1299,2014-05-04,2014-05-20
0053,02005,0053,2011-06-14,2011-06-23
0053,02680,0139,2009-02-05,2009-02-14
0054,00553,0615,2003-06-23,2003-07-14
0054,00681,0545,2005-06-26,2005-07-11
0054,01300,0894,2010-12-17,2011-01-06
0054,02516,0470,2002-09-11,2002-10-03
0055,00038,0491,2002-09-03,2002-09-24
0055,00173,0917,2007-04-04,2007-04-30
0055,01897,0141,2013-07-18,
0055,02673,1217,2019-08-23,2019-08-25
0055,02679,0329,2021-03-14,2021-03-20
0055,02910,0381,2018-06-24,2018-07-10
0056,01189,0368,2021-06-08,2021-07-01
0056,02566,0605,2017-05-05,2017-05-13
0056,02653,0541,2019-02-27,2019-03-03
0056,02769,0765,2009-07-16,2009-08-05
0057,01260,0828,2019-03-18,2019-04-03
0058,01449,0550,2009-07-08,2009-07-18
0058,02750,0297,2020-08-25,2020-08-27
0059,00537,0417,2007-12-16,2008-01-13
0059,01892,1168,2004-08-05,2004-08-09
0059,02126,1477,2010-03-09,2010-03-26
0059,02324,0472,2002-07-08,2002-07-13
0059,02351,0368,2015-09-09,2015-09-15
0060,00276,1348,2021-05-26,2021-05-28
0060,01081,0352,2009-09-15,2009-09-29
0060,01241,1131,2021-10-03,2021-10-30
0060,02626,0861,2018-07-03,2018-07-24
0060,02941,1085,2009-04-22,2009-05-13
0061,00349,0031,2005-02-04,2005-02-23
0061,00418,1388,2004-03-28,2004-04-01
0061,01479,0338,2022-08-23,2022-08-28
0062,00271,1248,2011-06-19,2011-07-13
0062,01011,1191,2006-09-23,2006-09-25
0062,01936,1308,2021-06-15,2021-06-26
0063,00275,0320,2012-11-24,2012-12-04
0063,00535,1408,2015-05-21,2015-06-19
0063,01130,1306,2017-10-19,2017-11-16
0064,00037,0951,2012-01-18,2012-01-25
0064,01528,0733,2016-02-03,2016-02-05
0064,01638,0253,2014-11-10,2014-11-16
0064,02367,0444,2002-03-21,2002-03-26
0064,02994,1105,2009-02-14,2009-03-13
0065,00028,0909,2004-01-01,2004-01-31
0065,00080,0550,2007-02-13,2007-03-08
0065,00578,0418,2003-01-04,2003-01-29
0065,01423,0105,2005-03-10,2005-04-06
0065,01464,1286,2020-04-22,2020-05-21
0065,02084,0569,2002-11-13,2002-12-07
0066,00787,1247,2018-08-21,2018-08-28
0067,00031,0460,2010-04-24,2010-04-27
0067,00436,0515,2019-05-27,2019-05-30
0067,00731,1011,2014-02-06,2014-03-06
0067,00892,0767,2019-10-12,2019-10-21
0068,00187,0710,2012-06-05,2012-06-15
0069,00626,1286,2004-09-03,2004-09-05
0069,01753,0117,2016-08-27,2016-09-24
0069,01772,0426,2021-04-26,2021-05-11
0069,02629,0103,2007-08-23,2007-09-16
0069,02936,1067,2014-09-21,2014-10-05
0070,02233,0584,2002-04-08,2002-04-15
0072,01188,0336,2009-07-14,2009-07-24
0073,01094,1034,2020-01-01,2020-01-08
0073,01577,0847,2019-12-28,2020-01-22
0073,01682,1213,2020-12-08,2020-12-09
0073,02550,0815,2012-03-17,2012-04-11
0074,00112,1301,2016-11-22,2016-12-01
0075,01893,0093,2008-11-05,2008-11-26
0075,02798,0987,2015-01-06,2015-01-12
0076,00629,1193,2016-07-21,2016-07-27
0077,00309,0810,2010-02-15,2010-03-16
0077,00981,0426,2009-10-16,2009-11-08
0077,01279,0624,2012-06-06,2012-06-09
0077,01492,1480,2011-09-09,2011-09-10
0077,01606,1360,2015-07-23,2015-08-10
0077,01894,0935,2013-01-27,2013-02-10
0077,02359,1265,2019-07-19,2019-08-11
0078,01209,0443,2005-05-19,
0078,01588,0609,2002-04-24,2002-05-11
0078,02190,0461,2002-04-13,2002-04-29
0079,01015,0360,2018-08-17,2018-08-31
0079,01545,1094,2018-05-13,2018-05-17
0079,01609,1455,2016-07-06,2016-07-26
0079,02413,1214,2013-09-24,2013-10-18
0080,00610,0330,2015-08-23,2015-08-27
0080,00682,1362,2007-10-22,2007-11-21
0080,01510,0457,2007-11-11,2007-11-30
0080,01815,0817,2008-02-23,2008-02-24
0080,02179,1487,2002-09-14,2002-10-11
0080,02983,0208,2022-10-17,2022-10-22
0081,00423,1343,2007-01-01,2007-01-21
0081,00614,0853,2018-06-26,2018-07-16
0081,01694,0392,2006-01-06,2006-01-08
0081,02447,1438,2006-09-18,2006-10-17
0081,02598,1035,2003-04-28,2003-05-16
0082,00060,0912,2013-09-02,2013-09-09
0082,00178,0900,2004-09-12,2004-09-18
0082,00852,1423,2020-10-09,2020-11-01
0082,02886,0921,2022-10-05,2022-10-15
0083,01185,1474,2008-06-24,2008-07-16
0083,02823,1416,2005-04-18,2005-04-26
0084,02171,0453,2012-05-18,2012-05-29
0084,02795,1432,2015-07-08,2015-07-16
0085,01475,1345,2020-04-26,2020-05-03
0085,02037,0922,2020-02-01,2020-02-24
0085,02696,1358,2009-04-02,2009-04-14
0086,01200,1101,2018-09-14,2018-09-25
0087,00514,1022,2020-05-28,2020-06-13
0087,01211,1024,2009-03-11,2009-03-28
0087,01292,1184,2017-10-25,2017-11-20
0088,00302,1148,2008-09-14,2008-09-26
0088,00835,0163,2022-03-21,2022-04-19
0088,02974,0391,2010-03-23,2010-04-03
0089,00192,1407,2021-01-13,2021-01-16
0089,01751,0948,2009-06-01,2009-06-12
0089,02743,0926,2011-01-07,2011-01-20
0089,02952,0702,2020-04-07,2020-04-10
0090,01800,1219,2002-02-05,2002-02-08
0090,02689,0531,2003-05-20,2003-06-02
0091,00661,1078,2019-11-28,2019-12-24
0091,00948,0364,2002-08-18,2002-09-12
0091,01089,0984,2018-02-08,2018-03-09
0091,01572,1375,2013-06-06,2013-07-01
0091,02843,0409,2021-09-15,2021-10-11
0092,00424,0943,2008-07-15,2008-08-07
0093,00329,0035,2012-03-14,2012-03-18
0093,01233,0747,2007-01-09,2007-01-17
0093,01713,1198,2012-10-23,2012-11-11
0093,02632,0621,2012-03-23,2012-03-24
0094,00197,1036,2019-05-03,2019-05-14
0094,01675,0819,2012-05-07,2012-05-16
0096,00240,1128,2002-01-11,2002-01-30
0096,02515,1092,2018-03-05,2018-03-28
0096,02618,0973,2021-01-03,2021-01-14
0097,02327,0609,2019-04-18,2019-05-12
0098,00185,1383,2020-02-11,2020-02-16
0098,00410,1135,2008-01-12,2008-01-24
0098,00547,0974,2003-02-03,2003-02-12
0098,00623,1048,2006-12-05,2006-12-22
0098,01824,0258,2013-08-03,2013-08-25
0098,02568,0435,2002-05-11,2002-06-01
0098,02748,0985,2012-08-12,2012-09-04
0099,01022,0444,2012-02-19,2012-03-04
0099,01118,0301,2021-11-07,2021-11-11
0100,01027,1144,2007-05-10,2007-06-05
0100,02298,1256,2002-06-26,2002-07-26
0101,01658,0540,2016-10-09,2016-11-08
0101,02569,0418,2007-06-17,2007-07-17
0102,00025,0200,2014-09-15,2014-09-26
0102,00526,1260,2002-07-07,2002-08-06
0102,02099,1326,2013-01-12,2013-02-05
0102,02162,0775,2006-08-07,2006-08-20
0103,00476,0089,2013-01-21,2013-02-16
0103,01036,0800,2004-03-03,2004-03-26
0103,02537,1287,2009-09-10,
0103,02668,0633,2014-04-28,2014-05-16
0103,02863,0134,2005-08-22,2005-08-31
0104,01098,1254,2012-09-08,2012-10-05
0104,01884,0261,2018-09-22,2018-09-28
0105,02775,0156,2017-08-03,2017-08-29
0106,01925,0620,2020-08-20,2020-08-27
0106,02548,0179,2020-01-10,2020-02-06
0107,00613,0184,2020-10-16,2020-10-27
0107,02899,0758,2002-05-10,2002-05-24
0108,02804,0489,2011-01-25,2011-02-13
0109,00966,0085,2009-11-22,2009-12-21
0109,01386,1320,2012-11-04,
0109,01483,1009,2015-12-28,2016-01-20
0111,00416,1098,2022-10-21,2022-11-20
0111,01960,0342,2007-09-28,2007-10-06
0111,01992,1366,2018-12-02,2018-12-03
0112,01826,0788,2008-07-12,2008-08-07
0112,02030,1038,2021-06-01,2021-06-03
0112,02452,0779,2016-06-13,
0113,02697,0467,2015-09-27,2015-10-22
0114,00108,1468,2012-04-09,2012-05-01
0114,01794,0552,2006-10-24,2006-11-18
0114,02164,0283,2007-04-13,2007-04-15
0114,02623,0336,2009-10-02,2009-10-08
0115,00450,0442,2015-05-05,2015-05-27
0115,00886,1077,2013-08-10,2013-08-14
0116,00317,0419,2021-12-25,2022-01-13
0116,02477,0562,2002-06-10,
0117,00544,1397,2010-04-22,2010-05-18
0117,02274,0610,2014-12-20,2015-01-07
0117,02951,0998,2012-01-15,2012-01-21
0118,00158,1130,2004-01-12,2004-02-05
0118,00670,0203,2003-05-24,2003-06-20
0118,02270,0546,2015-02-04,2015-02-27
0118,02786,1095,2012-07-03,2012-08-01
0119,00067,1010,2021-12-17,2021-12-25
0119,00130,0043,2006-09-18,2006-10-14
0119,00609,0974,2006-02-11,2006-03-07
0119,02358,0350,2007-01-15,2007-01-28
0120,00087,0694,2020-08-13,2020-09-04
0120,00359,0249,2006-01-23,2006-02-21
0120,01951,1241,2011-08-04,2011-08-13
0121,00106,0884,2020-04-27,2020-05-03
0121,00738,1035,2015-09-17,2015-09-21
0121,01270,0948,2010-04-19,2010-05-06
0122,00648,0972,2002-07-09,2002-07-25
0122,00924,0531,2006-07-02,2006-08-01
0122,01013,0910,2006-05-19,2006-06-12
0122,02362,0822,2004-02-26,2004-03-15
0124,01920,0956,2008-10-21,2008-10-23
0124,02761,0425,2014-07-13,2014-07-22
0124,02797,0871,2005-12-03,2005-12-28
0124,02815,1309,2013-03-21,2013-04-09
0124,02915,1167,2005-04-04,2005-04-11
0125,00011,1336,2012-07-22,2012-07-31
0126,00518,0351,2015-03-20,2015-04-06
0126,00562,0794,2021-07-21,2021-08-10
0126,01144,0369,2015-01-28,2015-01-30
0126,02579,1157,2007-03-26,2007-04-05
0127,00024,0937,2019-10-13,2019-10-26
0127,02526,0855,2014-01-20,2014-01-25
0127,02556,1049,2016-08-03,2016-08-18
0127,02617,0902,2021-08-10,2021-08-16
0128,00088,0644,2011-01-09,2011-02-07
0128,01827,0901,2005-04-28,2005-05-26
0129,01041,0177,2011-06-27,2011-07-15
0129,01053,1342,2010-05-10,2010-05-29
0129,02955,0911,2014-10-18,2014-11-13
0129,02996,0713,2021-08-11,2021-08-17
0130,00970,0734,2014-04-17,2014-05-07
0130,02313,0752,2004-09-01,2004-09-14
0130,02456,1013,2022-08-27,2022-08-31
0131,00770,0221,2003-05-15,2003-06-05
0131,02023,0646,2021-09-28,2021-10-21
0131,02603,0919,2002-06-07,2002-06-22
0131,02726,1154,2004-11-04,2004-11-10
0132,00010,1305,2004-01-12,2004-01-22
0132,00368,0248,2008-06-12,2008-06-16
0132,00790,0270,2019-09-07,2019-09-16
0132,01134,1403,2012-08-10,2012-08-31
0132,01347,0879,2006-12-09,2007-01-04
0133,00296,0914,2002-10-02,2002-10-05
0133,02384,0369,2013-02-10,2013-03-08
0134,00469,0225,2022-10-19,2022-11-03
0134,00663,0073,2022-01-02,2022-01-21
0134,00818,0134,2014-07-28,2014-07-30
0134,01148,0728,2006-04-03,2006-04-30
0134,01495,0995,2014-08-17,2014-08-28
0134,02125,0714,2007-11-26,2007-12-15
0137,00397,0045,2017-05-03,2017-05-07
0137,00569,1091,2013-04-22,2013-05-12
0137,01323,1063,2012-12-08,
0139,00282,1225,2014-01-10,2014-01-24
0139,01406,0455,2014-08-08,2014-09-06
0140,00625,1288,2005-03-10,2005-03-14
0140,02253,1010,2004-10-27,2004-11-19
0140,02813,0586,2017-02-01,2017-02-10
0141,00193,0485,2016-12-03,2016-12-14
0141,01525,0720,2011-12-02,2011-12-16
0141,01995,0145,2021-02-03,2021-02-10
0141,02531,1264,2007-10-13,2007-11-08
0141,02692,0045,2021-10-14,2021-10-25
0141,02889,0626,2016-02-07,2016-02-21
0142,01542,0939,2009-12-02,2009-12-03
0142,01825,0087,2019-01-10,2019-02-04
0142,02896,1193,2022-04-15,2022-05-07
0143,01956,1197,2020-08-18,2020-09-17
0144,00782,0045,2008-07-26,2008-08-01
0144,02087,1466,2003-08-26,2003-09-15
0144,02361,0538,2019-04-28,2019-05-11
0145,01418,1052,2005-05-13,2005-05-19
0145,01813,0553,2009-01-11,2009-01-21
0146,01926,0217,2019-09-08,2019-10-02
0147,01245,0120,2009-07-03,2009-07-11
0147,01727,0386,2017-05-26,2017-06-09
0148,00285,1281,2014-09-05,2014-09-14
0148,00652,0390,2022-07-05,2022-07-13
0149,00434,1302,2016-05-17,2016-05-24
0149,01429,0195,2011-09-23,2011-09-29
0149,01612,0961,2013-06-06,2013-06-27
0149,01650,0498,2005-07-05,2005-07-11
0149,01906,0541,2002-09-17,2002-10-06
0149,02740,0984,2003-07-24,2003-07-26
0150,02764,0772,2019-12-28,2020-01-06
0151,00150,1273,2009-08-19,2009-09-14
0151,00201,0908,2018-06-02,2018-06-14
0151,00465,0353,2011-11-28,2011-12-26
0151,02145,0222,2022-06-14,2022-07-06
0151,02258,0984,2012-05-14,2012-06-01
0152,01447,0430,2019-06-17,2019-06-24
0153,00175,0640,2017-08-19,2017-09-13
0153,00540,1266,2016-11-24,2016-12-03
0153,00828,0065,2012-03-10,2012-03-31
0153,01183,0856,2015-10-01,2015-10-03
0153,01205,0063,2009-04-11,2009-05-04
0154,01332,0972,2010-05-05,2010-06-02
0154,02581,1148,2018-11-25,2018-11-29
0157,00577,0372,2017-12-05,2017-12-31
0157,00758,0172,2009-11-20,2009-11-28
0157,01106,1399,2005-02-01,2005-02-27
0157,02267,0002,2015-12-11,2016-01-02
0158,02038,1316,2017-01-10,2017-01-21
0158,02977,0828,2003-06-09,2003-06-24
0159,01841,1495,2022-11-17,2022-12-11
0159,02186,0011,2010-11-14,2010-11-30
0160,00041,0630,2021-11-08,2021-11-27
0160,00177,1332,2005-05-01,2005-05-20
0160,00455,1261,2017-09-12,2017-10-06
0160,01194,0574,2010-01-03,2010-01-04
0160,01644,0945,2009-04-09,2009-04-28
0160,02345,0603,2015-03-26,2015-04-02
0160,02801,0482,2021-06-19,2021-06-21
0161,01846,0961,2009-03-20,2009-03-31
0161,02291,0287,2006-08-12,
0162,00264,0153,2008-12-01,2008-12-27
0163,00750,0979,2018-07-08,2018-08-01
0163,01848,0628,2011-11-25,2011-11-26
0163,01962,1143,2018-01-02,2018-01-28
0164,01311,0719,2015-01-08,2015-01-26
0164,01407,0100,2002-11-26,2002-12-01
0164,01649,0798,2003-04-26,2003-05-24
0164,01756,0015,2015-04-13,2015-05-03
0164,02483,0823,2006-07-13,2006-07-28
0165,01842,0091,2003-11-24,2003-12-16
0165,02554,0585,2013-10-14,2013-11-06
0166,01062,0373,2012-06-28,2012-07-24
0166,01179,0453,2004-09-10,2004-09-17
0167,00053,0012,2004-01-03,2004-01-20
0167,00916,0364,2004-11-05,2004-11-15
0168,01669,0363,2004-11-17,2004-12-05
0168,02399,0076,2020-02-25,2020-02-29
0168,02428,0632,2013-12-14,2013-12-24
0169,00298,0507,2002-03-27,2002-03-28
0169,01784,1253,2010-09-24,2010-10-22
0169,01812,0692,2021-06-13,2021-06-27
0170,00833,0698,2013-11-17,2013-11-26
0170,00878,0146,2012-12-01,2012-12-20
0171,02432,0857,2018-02-19,2018-03-11
0172,00816,0340,2011-04-15,2011-04-27
0172,01488,0439,2015-12-01,2015-12-07
0173,00075,1001,2013-05-23,2013-06-02
0173,00137,1321,2020-07-10,2020-08-09
0173,01111,0430,2014-09-06,2014-09-25
0173,02661,0103,2019-05-10,2019-06-05
0174,01668,0480,2017-09-20,2017-09-24
0174,01695,0232,2009-03-22,2009-04-11
0174,02931,0603,2018-08-21,2018-09-03
0175,00141,1457,2005-06-21,2005-07-11
0175,00957,0724,2018-10-08,2018-11-07
0176,00062,0852,2008-06-16,2008-06-23
0176,00788,0066,2002-07-21,2002-08-13
0176,01314,0317,2010-04-22,2010-05-12
0177,01513,1384,2017-06-19,2017-07-06
0178,00958,0483,2021-07-15,2021-07-26
0178,01433,1187,2008-02-01,2008-02-25
0178,01901,0753,2002-09-03,2002-09-08
0178,02299,0600,2006-08-16,2006-08-23
0179,00048,0640,2015-12-20,2015-12-28
0181,00631,0302,2017-12-09,2018-01-02
0181,01365,0335,2021-12-21,2022-01-04
0182,00680,1389,2008-06-27,2008-07-14
0182,02868,1431,2019-09-26,2019-10-08
0183,00288,1233,2006-09-05,2006-09-27
0183,00376,1045,2015-09-17,2015-09-28
0183,01221,0779,2010-07-20,2010-08-11
0183,01278,0604,2022-12-16,2022-12-18
0183,01573,0445,2010-04-08,2010-04-21
0183,02664,1092,2003-06-05,2003-06-15
0184,00228,0415,2009-07-01,2009-07-03
0184,00536,1190,2013-06-24,2013-07-18
0184,01670,0304,2006-05-27,2006-06-25
0185,00399,1444,2020-06-24,2020-07-07
0185,00829,0187,2018-02-06,2018-03-06
0185,01287,0575,2007-02-15,2007-02-23
0185,01968,1199,2013-10-18,2013-11-14
0186,00994,1246,2014-07-18,2014-08-15
0186,02497,1275,2009-05-01,2009-05-03
0187,00739,1420,2017-12-11,2018-01-07
0187,01159,1346,2013-11-05,2013-11-23
0187,01242,0003,2022-04-23,2022-04-25
0187,01551,0506,2008-07-15,2008-08-11
0187,01667,1309,2005-04-26,2005-05-10
0187,02845,0821,2017-07-28,2017-08-11
0188,00325,1236,2013-10-04,2013-10-23
0188,00539,0178,2015-03-26,2015-03-30
0188,00582,0784,2010-03-02,2010-03-19
0188,02763,0824,2004-02-18,2004-03-17
0189,00403,0650,2006-12-16,
0189,01731,0034,2012-01-26,2012-02-25
0189,02239,1173,2010-12-14,2011-01-13
0190,00586,0060,2019-01-15,2019-01-21
0190,02940,0889,2017-07-27,2017-08-09
0191,00315,0628,2016-02-12,2016-03-10
0192,01099,1143,2021-03-01,2021-03-24
0192,01186,1493,2012-09-14,2012-10-06
0192,01262,0022,2011-11-21,2011-11-30
0192,02457,0998,2022-09-21,2022-09-29
0193,00676,1176,2002-04-01,2002-04-24
0193,01082,1261,2004-10-14,2004-11-08
0193,01500,0064,2022-04-19,2022-05-11
0195,00219,1192,2003-04-06,2003-04-09
0195,02054,1143,2013-06-18,2013-07-02
0195,02415,0490,2007-03-13,2007-03-19
0195,02649,1098,2012-01-24,2012-02-02
0196,02316,1396,2007-03-18,2007-04-10
0197,00216,1015,2005-11-27,2005-12-22
0197,01084,0443,2002-06-16,2002-06-22
0198,02874,0736,2022-02-22,2022-03-24
0199,00763,0046,2012-09-11,2012-09-22
0199,02946,0180,2017-06-05,2017-07-05
0200,01939,1090,2004-08-01,2004-08-03
0200,02806,0816,2010-12-02,2010-12-07
0200,02838,1123,2020-08-06,2020-08-23
0201,00231,0044,2009-11-11,2009-12-11
0202,01240,1304,2002-11-06,2002-11-27
0202,02962,0420,2021-02-27,2021-03-18
0203,00697,0263,2022-11-23,2022-11-25
0203,01571,0280,2022-11-23,2022-12-07
0204,00570,0408,2021-11-04,2021-11-09
0204,02156,0531,2010-11-04,2010-11-27
0204,02184,0021,2007-03-18,2007-04-12
0205,00146,0061,2007-09-07,2007-09-13
0205,00545,1224,2018-08-14,2018-08-19
0205,01823,0089,2011-08-23,2011-09-19
0205,02525,1262,2004-11-28,2004-12-24
0206,01390,1196,2013-01-01,2013-01-22
0206,02143,1476,2011-11-08,2011-11-13
0206,02938,1312,2012-08-04,2012-08-12
0207,01459,1041,2008-11-01,2008-11-16
0207,01930,0244,2002-01-05,2002-01-12
0207,02808,1040,2021-10-04,2021-10-30
0207,02988,1476,2021-10-12,2021-10-27
0208,00393,1053,2013-01-16,2013-01-20
0209,01234,0326,2020-09-09,2020-09-18
0209,01413,1424,2014-08-23,2014-08-27
0209,02807,0645,2005-01-20,2005-01-23
0210,01952,0143,2005-08-25,2005-09-07
0211,00227,1437,2015-06-12,2015-07-11
0211,01038,0172,2005-02-25,2005-03-20
0211,01870,0139,2007-11-16,2007-12-09
0211,01946,0217,2014-01-17,2014-02-10
0212,00435,0618,2007-03-07,2007-03-21
0212,01478,0282,2006-04-26,2006-05-19
0212,01526,1357,2003-08-21,2003-09-12
0212,01568,1379,2005-08-28,2005-09-17
0212,02193,1002,2015-12-26,2016-01-12
0212,02528,0673,2014-06-03,2014-06-26
0213,00092,0884,2009-06-16,2009-07-03
0213,00164,1079,2009-05-12,2009-06-10
0213,00481,0212,2012-11-01,2012-11-25
0213,00914,0371,2004-03-25,2004-04-11
0213,01705,0271,2008-07-03,2008-07-08
0213,02572,0340,2005-08-17,2005-09-04
0214,00191,1209,2022-11-08,2022-11-11
0215,00888,0148,2012-04-23,2012-05-20
0215,01595,0784,2011-08-23,
0215,01720,0936,2014-11-25,2014-12-18
0215,02057,0048,2014-05-13,2014-05-19
0215,02236,0337,2016-11-14,2016-11-26
0215,02770,0468,2015-09-08,2015-09-16
0216,01377,0003,2014-12-21,2015-01-17
0216,01419,0289,2008-10-22,2008-11-03
0216,01886,1094,2014-07-05,2014-07-30
0216,02163,0889,2002-12-20,2003-01-16
0216,02975,0801,2014-01-18,
0217,00044,1470,2020-01-24,2020-02-16
0217,00918,1341,2022-10-05,2022-10-23
0217,00922,0671,2004-12-06,2004-12-25
0217,00959,1163,2015-01-17,2015-02-14
0217,01471,0495,2018-05-01,2018-05-26
0218,01953,0780,2013-03-03,2013-03-06
0218,02522,0660,2022-11-05,2022-11-28
0219,00599,0863,2012-10-14,2012-10-23
0220,02366,0571,2021-05-19,2021-06-11
0221,00307,0156,2006-12-17,2006-12-31
0221,01359,1465,2009-12-22,2010-01-15
0222,00133,0464,2008-03-15,2008-03-16
0222,00677,1495,2020-04-06,2020-04-12
0222,01543,0542,2010-05-04,2010-05-20
0222,01934,1268,2012-10-28,2012-11-05
0222,02724,0878,2010-03-10,2010-03-30
0222,02793,0499,2007-07-27,2007-08-13
0223,01174,0103,2022-05-22,2022-06-09
0223,01721,1427,2018-08-11,2018-08-16
0223,02980,0444,2006-03-25,2006-03-28
